Year,Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
2008,Lost,4,612,93,25,88
2009,Lost,5,592,87,21,90
2009,Lost,6,867,83,34,68
2004,House,1,382,97,19,84
2008,House,5,240,97,12,100
2009,House,6,208,93,13,92
2011,House,8,344,92,13,85
2017,The Handmaid's Tale,1,3576,91,125,94
2018,The Handmaid's Tale,2,1355,81,100,89
2019,The Handmaid's Tale,3,641,61,56,81
2020,To the Lake,1,78,83,5,100
2017,Ozark,1,2345,92,69,70
2018,Ozark,2,1129,90,45,76
2020,Ozark,3,1048,93,34,97
2017,Star Trek: Discovery,1,8604,50,72,82
2019,Star Trek: Discovery,2,2644,36,30,81
2020,Star Trek: Discovery,3,200,54,29,93
2012,Arrow,1,2473,85,36,85
2013,Arrow,2,2603,90,12,95
2014,Arrow,3,2704,71,9,89
2015,Arrow,4,2304,42,10,85
2016,Arrow,5,1234,70,13,88
2017,Arrow,6,763,51,7,64
2018,Arrow,7,590,59,211,88
2019,Arrow,8,280,72,120,91
2020,Brave New World,1,199,81,53,45
1990,The Flash,1,11,82,13,69
2013,Agents of S.H.I.E.L.D.,1,3073,79,72,88
2014,Agents of S.H.I.E.L.D.,2,2473,90,33,91
2015,Agents of S.H.I.E.L.D.,3,1941,91,22,100
2016,Agents of S.H.I.E.L.D.,4,1415,94,25,96
2017,Agents of S.H.I.E.L.D.,5,1230,92,23,100
2019,Agents of S.H.I.E.L.D.,6,651,89,15,93
2020,Agents of S.H.I.E.L.D.,7,252,92,14,100
1993,The X-Files,1,328,96,14,93
1994,The X-Files,2,218,98,8,88
1995,The X-Files,3,189,97,8,88
1996,The X-Files,4,169,96,6,100
1997,The X-Files,5,166,95,6,67
1998,The X-Files,6,153,94,6,83
1999,The X-Files,7,144,86,9,78
2000,The X-Files,8,143,71,9,67
2001,The X-Files,9,167,56,9,22
2016,The X-Files,10,1569,73,56,64
2018,The X-Files,11,448,78,41,77
2020,Next,1,16,69,14,64
2017,Mr. Mercedes,1,605,91,29,83
2018,Mr. Mercedes,2,109,73,10,100
2005,Grey's Anatomy,1,338,83,29,66
2005,Grey's Anatomy,2,201,87,16,100
2006,Grey's Anatomy,3,201,84,13,62
2007,Grey's Anatomy,4,148,79,6,67
2008,Grey's Anatomy,5,142,86,17,65
2009,Grey's Anatomy,6,144,84,8,88
2010,Grey's Anatomy,7,135,80,8,63
2011,Grey's Anatomy,8,127,78,9,67
2012,Grey's Anatomy,9,140,86,8,100
2013,Grey's Anatomy,10,232,83,11,91
2014,Grey's Anatomy,11,218,84,11,91
2015,Grey's Anatomy,12,165,82,10,100
2016,Grey's Anatomy,13,140,72,9,89
2017,Grey's Anatomy,14,292,74,15,93
2018,Grey's Anatomy,15,166,69,11,100
2019,Grey's Anatomy,16,81,68,7,100
1994,Friends,1,157,90,20,65
1998,Friends,5,433,96,6,100
1999,Friends,6,423,96,6,100
2001,Friends,8,419,96,7,100
2002,Friends,9,448,88,5,20
2003,Friends,10,663,95,22,86
2005,Bones,1,98,78,14,64
2006,Bones,2,56,85,5,100
2010,Bones,6,56,83,5,100
2013,Bones,9,133,89,6,83
2015,Bones,11,51,82,5,100
2017,Bones,12,40,75,14,93
2018,You,1,1906,80,59,93
2019,You,2,1158,83,41,88
2020,A Suitable Boy,1,11,55,19,68
1994,ER,1,38,96,12,83
1995,ER,2,16,100,5,100
1997,ER,4,15,93,6,50
2008,ER,15,20,78,6,83
2017,Riverdale,1,1959,80,62,88
2017,Riverdale,2,1039,59,15,88
2018,Riverdale,3,743,44,6,84
2019,Riverdale,4,332,48,63,84
2001,Smallville,1,248,89,27,78
2002,Smallville,2,179,88,6,100
2003,Smallville,3,170,87,10,80
2004,Smallville,4,160,83,10,100
2005,Smallville,5,166,81,5,60
2006,Smallville,6,144,80,8,75
2007,Smallville,7,145,65,5,40
2008,Smallville,8,147,65,6,83
2009,Smallville,9,151,78,8,100
2010,Smallville,10,244,84,24,71
2020,Away,1,539,60,65,58
2008,True Blood,1,370,85,31,61
2009,True Blood,2,281,90,18,89
2010,True Blood,3,262,85,22,95
2011,True Blood,4,230,80,17,76
2012,True Blood,5,226,68,18,83
2013,True Blood,6,239,49,17,47
2014,True Blood,7,347,46,16,44
2010,Sherlock,1,2877,98,27,93
2012,Sherlock,2,2543,98,34,94
2013,Sherlock,3,3397,95,40,91
2017,Sherlock,4,3303,44,28,54
2014,True Detective,1,78,100,84,87
2015,True Detective,2,59,39,87,62
2019,True Detective,3,78,86,90,85
2005,Prison Break,1,395,95,31,77
2006,Prison Break,2,238,92,14,71
2007,Prison Break,3,215,68,12,50
2008,Prison Break,4,211,63,10,50
2017,Prison Break,5,712,75,34,56
1987,Star Trek: The Next Generation,1,240,67,14,79
1988,Star Trek: The Next Generation,2,189,77,6,50
1989,Star Trek: The Next Generation,3,181,95,8,100
1990,Star Trek: The Next Generation,4,46,100,6,100
1991,Star Trek: The Next Generation,5,163,96,6,100
1992,Star Trek: The Next Generation,6,161,95,5,100
1993,Star Trek: The Next Generation,7,187,93,10,100
2014,How to Get Away with Murder,1,1576,86,56,85
2015,How to Get Away with Murder,2,529,88,87,93
2017,How to Get Away with Murder,4,273,80,8,100
2018,How to Get Away with Murder,5,168,93,6,83
2019,How to Get Away with Murder,6,74,88,5,80
2017,Law & Order,1,58,86,39,64
2014,Gotham,1,3762,74,91,76
2015,Gotham,2,1319,70,15,74
2016,Gotham,3,799,65,9,74
2017,Gotham,4,697,66,22,77
2018,Gotham,5,551,55,20,85
2013,Hannibal,1,2261,94,66,82
2014,Hannibal,2,2950,97,45,98
2015,Hannibal,3,2058,91,47,98
2020,Unsolved Mysteries,1,76,82,23,74
2020,Unsolved Mysteries,2,13,77,5,80
2013,The Originals,1,490,89,28,57
2014,The Originals,2,324,91,6,100
2015,The Originals,3,258,92,6,100
2017,The Originals,4,175,89,5,100
2018,The Originals,5,180,86,6,67
2013,Banshee,1,397,86,34,65
2014,Banshee,2,313,94,16,94
2015,Banshee,3,375,95,14,100
2016,Banshee,4,217,86,11,100
2017,Big Little Lies,1,1537,95,125,93
2019,Big Little Lies,2,247,85,102,85
2020,Monsterland,1,48,50,27,81
2017,Mindhunter,1,3968,95,100,97
2019,Mindhunter,2,1486,95,67,99
2020,Tehran,1,52,73,15,93
2015,Mr. Robot,1,6448,94,60,98
2016,Mr. Robot,2,2778,90,39,89
2017,Mr. Robot,3,997,95,20,92
2019,Mr. Robot,4,745,95,19,97
2017,Riviera,1,60,50,19,63
2013,The Fall,1,686,93,20,95
2014,The Fall,2,682,92,15,93
2016,The Fall,3,243,74,22,64
2014,Chicago P.D.,1,111,89,31,61
2010,Justified,1,396,91,42,93
2011,Justified,2,261,99,27,100
2012,Justified,3,266,97,28,96
2013,Justified,4,223,98,25,100
2014,Justified,5,344,95,28,96
2015,Justified,6,608,88,25,100
2016,Star Trek: Deep Space Nine,1,182,75,37,35
2018,Titans,1,3116,73,45,80
2019,Titans,2,623,73,21,81
2015,Supergirl,1,3330,54,72,92
2016,Supergirl,2,1136,56,20,92
2017,Supergirl,3,780,54,15,78
2018,Supergirl,4,649,44,7,87
2019,Supergirl,5,367,44,8,92
2015,The Man in the High Castle,1,1847,89,61,95
2016,The Man in the High Castle,2,862,88,25,64
2018,The Man in the High Castle,3,443,87,21,86
2019,The Man in the High Castle,4,247,60,13,92
2020,Star Trek: Picard,1,2552,56,66,86
2016,Star Wars: The Clone Wars,1,182,75,37,35
2016,Star Trek: Voyager,1,182,75,37,35
2020,Soulmates,1,13,54,12,67
1997,Stargate SG-1,1,49,100,10,60
2015,Daredevil,1,8823,94,72,99
2016,Daredevil,2,7128,91,57,81
2018,Daredevil,3,3388,87,64,97
2018,Swamp Thing,1,110,72,39,92
2016,DC's Legends of Tomorrow,1,1411,62,36,65
2016,DC's Legends of Tomorrow,2,605,76,10,88
2017,DC's Legends of Tomorrow,3,588,69,8,88
2018,DC's Legends of Tomorrow,4,371,70,5,98
2020,DC's Legends of Tomorrow,5,133,71,13,99
2008,Fringe,1,421,80,25,84
2009,Fringe,2,284,84,16,81
2010,Fringe,3,277,82,13,100
2011,Fringe,4,264,78,12,100
2012,Fringe,5,378,81,16,88
2011,Teen Wolf,1,385,81,25,68
2012,Teen Wolf,2,315,89,10,90
2013,Teen Wolf,3,479,92,17,88
2014,Teen Wolf,4,357,76,12,67
2015,Teen Wolf,5,330,78,12,92
2016,Teen Wolf,6,203,83,12,83
2010,Spartacus,1,364,86,23,52
2012,Spartacus,2,244,88,11,82
2013,Spartacus,3,262,86,13,69
2019,A Discovery of Witches,1,574,84,32,94
2009,Castle,1,154,86,29,69
2009,Castle,2,106,92,6,100
2010,Castle,3,96,92,5,60
2011,Castle,4,96,90,6,83
2012,Castle,5,97,89,6,67
2013,Castle,6,206,92,11,91
2014,Castle,7,167,90,5,80
2015,Castle,8,91,59,6,100
1998,Sex and the City,1,37,69,29,55
1999,Sex and the City,2,18,94,5,60
2000,Sex and the City,3,15,93,6,67
2001,Sex and the City,4,15,93,7,86
2002,Sex and the City,5,14,86,11,73
2003,Sex and the City,6,25,80,16,88
1989,Baywatch,1,6,33,6,67
2015,Younger,1,463,88,37,97
2016,Younger,2,113,93,8,100
2016,Younger,3,67,84,8,100
2017,Younger,4,47,90,7,100
2018,Younger,5,46,84,9,100
2019,Younger,6,21,67,8,100
2019,Pretty Little Liars,1,176,86,11,100
2020,Love Life,1,130,82,47,64
2015,Poldark,1,12,92,23,91
2016,Poldark,2,16,94,10,80
2017,Poldark,3,185,89,17,100
2018,Poldark,4,56,95,16,81
2019,Poldark,5,36,47,21,86
2016,Medici,1,88,83,6,50
2005,Rome,1,230,95,36,83
2007,Rome,2,29,100,28,89
2009,Doc Martin,4,6,100,6,100
2013,Doc Martin,6,5,100,8,88
2015,Doc Martin,7,5,100,10,80
2017,Doc Martin,8,5,100,6,83
2019,Doc Martin,9,6,100,5,60
2013,Attack on Titan,1,210,97,6,83
2017,Attack on Titan,2,184,96,7,100
2018,Attack on Titan,3,175,94,6,100
1964,The Addams Family,1,15,93,6,100
2016,Van Helsing,1,360,53,11,82
2020,Penny Dreadful,1,228,46,32,75
2018,Legacies,1,323,86,11,82
2019,Servant,1,382,82,59,83
2018,Castle Rock,1,1374,80,76,87
2019,Castle Rock,2,217,79,35,89
2011,Grimm,1,288,81,36,53
2012,Grimm,2,196,92,11,100
2013,Grimm,3,352,94,10,100
2014,Grimm,4,274,95,5,100
2015,Grimm,5,225,92,5,100
2017,Grimm,6,139,90,6,83
2019,The Twilight Zone,1,739,38,88,70
2020,The Twilight Zone,2,45,53,23,65
2019,The Mandalorian,1,7621,93,35,93
2020,The Mandalorian,2,265,92,52,94
2017,Castlevania,1,1214,91,25,80
2018,Castlevania,2,433,90,13,100
2019,Castlevania,3,281,83,16,100
2018,The Purge,1,271,63,38,42
2015,iZombie,1,1446,89,53,91
2016,iZombie,2,490,89,14,100
2017,iZombie,3,291,86,10,100
2018,iZombie,4,211,73,12,92
2018,iZombie,5,79,66,7,71
2019,The Order,1,595,72,6,100
2020,The Order,2,217,75,5,100
2016,Preacher,1,2342,86,71,89
2017,Preacher,2,646,83,24,91
2018,Preacher,3,252,86,13,92
2019,Preacher,4,102,76,11,77
2019,Primal,1,144,99,20,100
2018,The Terror,1,1410,87,59,93
2019,The Terror,2,204,66,43,81
2019,Locke & Key,1,907,68,61,66
2017,Santa Clarita Diet,1,30,83,73,78
2018,Santa Clarita Diet,2,437,95,19,89
2019,Santa Clarita Diet,3,25,96,18,100
2015,Ash vs Evil Dead,1,2189,94,51,98
2016,Ash vs Evil Dead,2,580,94,17,100
2018,Ash vs Evil Dead,3,430,95,15,100
2012,Gravity Falls,1,142,98,10,100
2014,Gravity Falls,2,138,98,7,100
2019,"Love, Death & Robots",1,202,90,43,77
2010,Haven,1,63,85,26,35
2012,Haven,3,33,97,5,60
2013,Haven,4,63,87,5,80
2014,Haven,5,82,81,5,80
2019,NOS4A2,1,137,74,30,70
2020,NOS4A2,2,150,89,8,75
2020,Penny Dreadful: City of Angels,1,228,46,32,75
2015,Scream Queens,1,709,78,74,68
2016,Scream Queens,2,222,72,6,83
2019,Creepshow,1,100,76,29,97
2013,Hemlock Grove,1,225,67,35,26
2014,Hemlock Grove,2,258,77,11,55
2015,Hemlock Grove,3,55,47,6,33
2017,Star Trek: Discovery,1,8604,50,72,82
2019,Star Trek: Discovery,2,2644,36,30,81
2020,Star Trek: Discovery,3,201,54,29,93
2020,Blood of Zeus,1,241,81,17,100
2015,The Last Kingdom,1,2114,93,31,87
2017,The Last Kingdom,2,507,97,7,86
2018,The Last Kingdom,3,487,97,7,100
2019,Warrior,1,153,93,24,79
2018,Tom Clancy's Jack Ryan,1,2085,88,83,75
2019,Tom Clancy's Jack Ryan,2,732,55,27,67
2001,24,1,272,94,20,95
2002,24,2,205,90,17,94
2003,24,3,172,88,14,93
2005,24,4,159,89,20,95
2006,24,5,153,91,22,100
2007,24,6,142,69,31,74
2009,24,7,140,82,33,76
2010,24,8,167,82,40,75
2018,Killing Eve,1,2041,90,101,96
2019,Killing Eve,2,776,88,68,92
2020,Killing Eve,3,439,80,49,80
1999,Angel,1,16,94,21,95
2000,Angel,2,36,97,6,100
2002,Angel,4,35,76,6,67
2003,Angel,5,35,88,14,93
2009,NCIS: Los Angeles,1,30,63,30,70
1999,The Sopranos,1,704,97,26,100
2000,The Sopranos,2,438,99,16,94
2001,The Sopranos,3,396,99,11,100
2002,The Sopranos,4,369,97,11,91
2004,The Sopranos,5,365,98,13,92
2006,The Sopranos,6,457,97,37,89
2015,Better Call Saul,1,5178,95,69,97
2016,Better Call Saul,2,2257,96,31,97
2017,Better Call Saul,3,1575,96,39,97
2018,Better Call Saul,4,1286,95,36,99
2020,Better Call Saul,5,720,96,42,99
2015,Narcos,1,2285,95,49,80
2016,Narcos,2,1125,96,26,92
2017,Narcos,3,1270,94,32,97
2020,Blood of Zeus,1,242,81,17,100
1989,The Simpsons,1,296,89,17,100
1990,The Simpsons,2,206,95,7,100
1991,The Simpsons,3,199,94,5,100
1992,The Simpsons,4,194,95,11,100
